S.no,Youtube_channel,Youtuber_name,Category,Subscribers,Country,Average_view,Average_likes,Average_comments,Sub-category,Date
1,T-Series,tseries,Music & Dance,224400000.0,India,141500.0,4600.0,125.0,Other,9/1/2022
3,PewDiePie,PewDiePie,Animation,111600000.0,United States,1900000.0,130500.0,7400.0,Other,9/5/2022
4,MrBeast,MrBeast6000,Video games,104100000.0,United States,44800000.0,2200000.0,70900.0,Humor,9/27/2022
7,WWE,WWEFanNation,Video games,90800000.0,United States,139500.0,4800.0,205.0,Other,9/10/2022
8,Zee Music Company,zeemusiccompany,Music & Dance,87700000.0,India,103700.0,1400.0,54.0,Other,9/19/2022
10,BLACKPINK,BLACKPINK,Music & Dance,80300000.0,United States,10400000.0,1400000.0,42000.0,Other,9/21/2022
11,5-Minute Crafts,5-Minute Crafts,Other,77300000.0,India,214100.0,1800.0,77.0,Other,9/11/2022
12,Goldmines,GoldminesTelefilms,Other,75700000.0,India,141900.0,2100.0,56.0,Other,9/3/2022
13,Sony SAB,sabtv,Movies,71700000.0,India,61700.0,924.0,18.0,Animation,9/17/2022
14,BANGTANTV,BANGTANTV,Music & Dance,70600000.0,India,3900000.0,743300.0,15800.0,Other,9/14/2022
15,HYBE LABELS,ibighit,Music & Dance,68200000.0,United States,1000000.0,173100.0,4500.0,Other,9/5/2022
16,Canal KondZilla,CanalKondZilla,Music & Dance,66000000.0,Brazil,37400.0,1700.0,109.0,Other,9/28/2022
17,Zee TV,zeetv,Other,63400000.0,India,109400.0,1100.0,15.0,Other,9/11/2022
18,Shemaroo Filmi Gaane,filmigaane,Music & Dance,61800000.0,India,30400.0,273.0,14.0,Other,9/28/2022
21,Dude Perfect,corycotton,Video games,58300000.0,United States,6400000.0,206700.0,7900.0,Other,9/15/2022
22,Movieclips,movieclips,Movies,57800000.0,United States,18800.0,181.0,11.0,Animation,9/25/2022
23,Colors TV,colorstv,Other,56000000.0,India,19300.0,407.0,5.0,Other,9/20/2022
24,Marshmello,Marshmello,Music & Dance,55900000.0,United States,197900.0,13200.0,729.0,Other,9/18/2022
26,Tips Official,tipsmusic,Music & Dance,53500000.0,India,233300.0,2800.0,60.0,Other,9/1/2022
