Youtube_channel,Youtuber_name,Category,Subscribers,Country,Average_view,Average_likes,Date
PewDiePie,PewDiePie,Animation,111600000.0,United States,1.4M,110.7K,11/7/2022
MrBeast6000,MrBeast,Video games,109100000.0,United States,38.4M,3.1M,11/27/2022
WWEFanNation,WWE,Video games,91800000.0,United States,144.9K,5.1K,11/7/2022
BLACKPINK,BLACKPINK,Music & Dance,82800000.0,United States,1.8M,297.3K,11/23/2022
ibighit,HYBE LABELS,Music & Dance,68800000.0,United States,2.9M,179.6K,11/16/2022
corycotton,Dude Perfect,Video games,58400000.0,United States,6.4M,250.5K,11/24/2022
movieclips,Movieclips,Movies,58100000.0,United States,9.2K,142,11/24/2022
Marshmello,Marshmello,Music & Dance,56100000.0,United States,1.7M,88.5K,11/30/2022
EdSheeran,Ed Sheeran,Music & Dance,52600000.0,United States,222.6K,11.1K,11/18/2022
LooLooKids,LooLoo Kids - Nursery Rhymes and Children's Songs,Music & Dance,51200000.0,United States,332K,5.5K,11/13/2022
MrBeast,MrBeast,Video games,117000000.0,United States,68.5M,2.9M,12/19/2022
PewDiePie,PewDiePie,Animation,111600000.0,United States,1.4M,110.7K,12/28/2022
WWEFanNation,WWE,Video games,91800000.0,United States,144.9K,5.1K,12/2/2022
BLACKPINK,BLACKPINK,Music & Dance,82800000.0,United States,1.8M,297.3K,12/16/2022
ibighit,HYBE LABELS,Music & Dance,68800000.0,United States,2.9M,179.6K,12/4/2022
dudeperfect,Dude Perfect,Video games,58600000.0,United States,7.1M,207.6K,12/29/2022
movieclips,Movieclips,Movies,58100000.0,United States,9.2K,142,12/3/2022
Marshmello,Marshmello,Music & Dance,56100000.0,United States,1.7M,88.5K,12/1/2022
EdSheeran,Ed Sheeran,Music & Dance,52600000.0,United States,222.6K,11.1K,12/26/2022
LooLooKids,LooLoo Kids - Nursery Rhymes and Children's Songs,Music & Dance,51200000.0,United States,332K,5.5K,12/16/2022
